Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
    1  103 0xffffff7f80a12000 0x9e30     0x9e30     com.apple.kpi.bsd (17.5.0) A5742E6F-55F0-4AA7-B565-45D653B0FCA3
    2   12 0xffffff7f80a1c000 0x3990     0x3990     com.apple.kpi.dsep (17.5.0) 99AEE178-4AFD-4793-8706-B066E1F4A8E3
    3  142 0xffffff7f80a20000 0x21150    0x21150    com.apple.kpi.iokit (17.5.0) 311EF0A5-AC32-492F-8ECC-DD2109BABC04
    4  148 0xffffff7f80a04000 0xd430     0xd430     com.apple.kpi.libkern (17.5.0) EBD008C9-E496-47A6-980A-76EF1E0C5D0C
    5  128 0xffffff7f80a00000 0x3f60     0x3f60     com.apple.kpi.mach (17.5.0) 3B2845B3-EF14-488C-8E3B-09068CC4B32B
    6   75 0xffffff7f80a48000 0xce70     0xce70     com.apple.kpi.private (17.5.0) 615A1300-596B-4860-B500-6545BE876280
    7   92 0xffffff7f80a42000 0x5ea0     0x5ea0     com.apple.kpi.unsupported (17.5.0) D809891C-DA19-460D-8176-9EF5A557BDEE
    8    1 0xffffff7f80e9e000 0x10000    0x10000    com.apple.kec.Libm (1) BC3F7DA4-03EA-30F7-B44A-62C249D51C10 <4>
    9    8 0xffffff7f81353000 0xb0000    0xb0000    com.apple.kec.corecrypto (1.0) CA65BD09-4559-3507-A72B-733ED9110DF1 <7 6 5 4 3 1>
   10    0 0xffffff7f81448000 0xf000     0xf000     com.apple.kec.pthread (1) E64F7A49-CBF0-3251-9F02-3655E3B3DD31 <7 6 5 4 3 1>
   11   36 0xffffff7f80aed000 0x9000     0x9000     com.apple.iokit.IOACPIFamily (1.4) 95DA39BB-7C39-3742-A2E5-86C555E21D67 <7 6 4 3>
   12   41 0xffffff7f80b22000 0x3b000    0x3b000    com.apple.iokit.IOPCIFamily (2.9) 580E0204-B37A-32BA-AC27-E8DBCA519B1F <7 6 5 4 3>
   13    9 0xffffff7f80fc7000 0x1f000    0x1f000    com.apple.driver.AppleSMC (3.1.9) 497D69E7-C1FB-3435-B4D9-ED1DC51727D1 <12 11 7 6 5 4 3 1>
   14    2 0xffffff7f836bf000 0xa5000    0xa5000    com.apple.driver.AppleACPIPlatform (6.1) FC118BB9-2E67-35DD-BB25-BA6DFAF5AE88 <13 12 11 7 6 5 4 3 1>
   15    5 0xffffff7f80ae6000 0x7000     0x7000     com.apple.iokit.IOReportFamily (31) D2F2FBDF-4EE4-38BA-99F5-B699F886F413 <5 4 3>
   22    9 0xffffff7f80d3a000 0x37000    0x37000    com.apple.iokit.IONetworkingFamily (3.4) 5A99D802-B477-3D83-9F76-304605479B9F <7 6 5 4 3 1>
   23    2 0xffffff7f81972000 0x2d000    0x2d000    com.apple.iokit.IOTimeSyncFamily (675.12) B23A855F-93DC-3753-A6E2-F53C4C8DCA15 <22 5 4 3 1>
   24    9 0xffffff7f80c22000 0x30000    0x30000    com.apple.iokit.IOStorageFamily (2.1) F27A8A2A-6662-3608-83BD-415037509E01 <7 6 5 4 3 1>
   25    0 0xffffff7f81c36000 0x1e000    0x1e000    com.apple.driver.DiskImages (480.50.10) 0B607C52-26C3-3F4B-AC7D-837D6202F90C <24 7 6 5 4 3 1>
   26    4 0xffffff7f81acf000 0x9000     0x9000     com.apple.driver.IOSlaveProcessor (1) 582BDE04-9EB3-3A87-8842-4FF06D1F72C6 <4 3>
   27    3 0xffffff7f82cd2000 0x1b000    0x1b000    com.apple.driver.AppleSEPManager (1.0.1) DFD733F6-3143-3364-BF66-1B1D9BB7B9EC <26 12 9 7 6 5 4 3 1>
   28    1 0xffffff7f80fe6000 0x8000     0x8000     com.apple.driver.AppleBusPowerController (1.0) 79B78C02-CBE8-3C9B-A19D-D8AB5875A429 <13 11 6 5 4 3>
   29    7 0xffffff7f80fee000 0x8000     0x8000     com.apple.driver.usb.AppleUSBCommon (1.0) E66690D0-77E7-350D-81EB-48A926ED1BF8 <5 4 3 1>
   30   17 0xffffff7f80ff6000 0x80000    0x80000    com.apple.iokit.IOUSBHostFamily (1.2) 20A97E20-AEA3-329A-A36A-2360BCB0AD34 <29 28 7 6 5 4 3 1>
   31    3 0xffffff7f814dd000 0x20000    0x20000    com.apple.driver.KernelRelayHost (1) 735BC8D8-4B33-3847-943B-E29647A5C346 <30 5 4 3>
   32    1 0xffffff7f82def000 0x36000    0x36000    com.apple.driver.AppleCredentialManager (1.0) 5BE11F50-E4E4-3FD5-BAEA-7B649CBE53F9 <31 27 26 9 7 6 5 4 3 1>
   33    3 0xffffff7f80cc2000 0x31000    0x31000    com.apple.iokit.IOSCSIArchitectureModelFamily (404.30.2) 4734E6C9-B881-32C8-BE1F-4D9848A52895 <6 5 4 3 1>
   34    1 0xffffff7f814fd000 0x1d000    0x1d000    com.apple.iokit.IOSCSIBlockCommandsDevice (404.30.2) 34091931-8856-37D2-B4BB-82F28AC66162 <33 24 6 5 4 3 1>
   35    1 0xffffff7f815ec000 0x34000    0x34000    com.apple.iokit.IOUSBMassStorageDriver (140.50.3) 3F525812-E267-323A-B8F8-B9E1D9B7AAE7 <33 30 24 6 5 4 3 1>
   36    5 0xffffff7f81403000 0x15000    0x15000    com.apple.driver.AppleMobileFileIntegrity (1.0.5) E56BF7DF-B38F-3193-9A02-9DB0BAC70D7A <9 7 6 5 4 3 2 1>
   37    1 0xffffff7f82c8b000 0x16000    0x16000    com.apple.driver.AppleUSBTDM (439.50.6) C20CBDB6-884A-310A-9C23-AEFC43B348DA <36 35 34 33 30 24 7 6 5 4 3 1>
   38    0 0xffffff7f82e25000 0x63000    0x63000    com.apple.driver.AppleKeyStore (2) 08F93C3B-1E1F-3DDF-A954-F132AB951917 <37 36 32 31 27 26 9 7 6 5 4 3 1>
   39    2 0xffffff7f83656000 0xc000     0xc000     com.apple.driver.AppleEffaceableStorage (1.0) 6B49B846-2852-3D7C-BD45-E70DC2684A8E <7 5 4 3 1>
   40    0 0xffffff7f83662000 0xc000     0xc000     com.apple.driver.AppleFDEKeyStore (28.30) 691E35C5-E9F8-33D8-8492-9731EC9D2A6D <39 9 7 6 5 4 3 1>
   41    0 0xffffff7f8134c000 0x2000     0x2000     com.apple.security.TMSafetyNet (8) 5B78C369-AA3C-326F-8AE3-C200955DD9A7 <7 6 5 4 2 1>
   42    2 0xffffff7f81418000 0x5000     0x5000     com.apple.kext.AppleMatch (1.0.0d1) 2D2996CA-A15E-39E6-9D6B-2BE6DF131972 <4 1>
   43    1 0xffffff7f8141d000 0x21000    0x21000    com.apple.security.sandbox (300.0) C8A80BD1-78EC-384E-AD40-43F8EE9B5E60 <42 36 24 7 6 5 4 3 2 1>
   44    0 0xffffff7f8143e000 0x9000     0x9000     com.apple.security.quarantine (3) 80C4548A-999E-3F96-85B0-6C6F95A542A7 <43 42 7 6 5 4 2 1>
