Purpose                 Start               End                 HW Informant
"(PCI) IGPU/2"          0x000000000000F000  0x000000000000F03F  false 
"(PCI) SBUS/1"          0x000000000000F040  0x000000000000F05F  false 
"(PCI) SAT0/4"          0x000000000000F060  0x000000000000F07F  false 
"(PCI) SAT0/3"          0x000000000000F080  0x000000000000F083  false 
"(PCI) SAT0/2"          0x000000000000F090  0x000000000000F097  false 
"(PCI) pci8086,9d3d/0"  0x000000000000F0A0  0x000000000000F0A7  false 
"(PCI) PXSX/1"          0x00000000EC000000  0x00000000EC3FFFFF  false 
"(PCI) PXSX/0"          0x00000000EC400000  0x00000000EC407FFF  false 
"(PCI) PXSX/0"          0x00000000EC500000  0x00000000EC500FFF  false 
"(PCI) GLAN/0"          0x00000000EC600000  0x00000000EC61FFFF  false 
"(PCI) PPMC/0"          0x00000000EC64C000  0x00000000EC64FFFF  false 
"(PCI) SAT0/0"          0x00000000EC650000  0x00000000EC651FFF  false 
"(PCI) SAT0/5"          0x00000000EC653000  0x00000000EC6537FF  false 
"(PCI) SAT0/1"          0x00000000EC654000  0x00000000EC6540FF  false 
"(PCI) pci8086,9d3d/1"  0x00000000EC655000  0x00000000EC655FFF  false 
"(PCI) IGPU/1"          0x0000007F80000000  0x0000007F8FFFFFFF  false 
"(PCI) IGPU/0"          0x0000007F90000000  0x0000007F90FFFFFF  false 
"(PCI) HDEF/1"          0x0000007F91000000  0x0000007F9100FFFF  false 
"(PCI) XHC/0"           0x0000007F91010000  0x0000007F9101FFFF  false 
"(PCI) B0D4/0"          0x0000007F91020000  0x0000007F91027FFF  false 
"(PCI) HDEF/0"          0x0000007F91028000  0x0000007F9102BFFF  false 
"(PCI) IMEI/0"          0x0000007F9102C000  0x0000007F9102CFFF  false 
"(PCI) I2C2/0"          0x0000007F9102D000  0x0000007F9102DFFF  false 
"(PCI) I2C1/0"          0x0000007F9102E000  0x0000007F9102EFFF  false 
"(PCI) I2C0/0"          0x0000007F9102F000  0x0000007F9102FFFF  false 
"(PCI) pci8086,9d31/0"  0x0000007F91030000  0x0000007F91030FFF  false 
"(PCI) SBUS/0"          0x0000007F91031000  0x0000007F910310FF  false 
